Feature,Importance
features_used,0.2512888441746842
monthly_login_count,0.2291304469269549
last_login_days_ago,0.1830592057683024
complaint_count,0.1623431065723758
customer_satisfaction_score,0.132211854804634
response_time_hours,0.0108785213733156
resolution_time_hours,0.0099464529905522
average_session_time_minutes,0.0069479535029496
tenure_months,0.0056869068016518
monthly_revenue,0.0010102006801902
subscription_type_Professional,0.0010085410618262
age_group_60+,0.0009895249386839
region_London,0.0008861082100791
region_Manchester,0.0007298467480858
age_group_26-35,0.0007067143724535
age_group_46-60,0.0006464056879527
region_Glasgow,0.0006110036239671
age_group_36-45,0.0005920183636699
region_Bristol,0.0005160298426544
region_Leeds,0.0004857344385919
subscription_type_Enterprise,0.000324579116424
